,lluvia_mm,temp_media_c,ph_suelo,altitud_m,mano_obra_horas,area_ha,fertilizante_kg_ha,materia_organica_pct,riego,tipo_suelo,variedad_semilla,historial_plagas,rendimiento_kg_ha,plaga_severa
0,418.9121092777717,12.94737210664492,6.378618311576871,564.3503210693872,117.65788357042412,1.6399068280327456,80.11246867396855,0.9615643705578294,Si,Franco,V1,Nunca,6320.2826549010215,0
1,829.8836812672354,13.273468320918116,6.510039820886319,848.3514572290389,118.78326979591144,3.181229640832478,120.90758530321447,5.700165198819949,Si,Franco,V2,Nunca,8011.8398329387455,1
2,618.7200146879367,15.318376363322876,6.338458801445486,471.8600552841441,158.01643895239454,2.3351126189287754,116.18253250016384,1.8622462390384529,No,Franco,V1,Frecuente,6380.726607830517,1
3,596.4522935769489,21.75812388180443,7.016592554775693,792.0096630523942,99.67573332683116,3.3804140423442623,259.0920314138581,7.405093073674068,No,Arcilloso,V2,Ocasional,6969.167512993186,1
4,468.5271900056182,17.286543225084657,5.538013931914208,359.0440711295767,95.33227358008824,2.119452455683069,116.32107566925428,0.3719696234315933,Si,Arenoso,V1,Frecuente,6416.729743433606,1
5,852.1188571378669,13.900904112010032,6.271647846206179,620.854733307111,89.5064679084978,0.9153085818760645,119.6772272896814,2.33712073847576,Si,Franco,V2,Nunca,7638.293049418279,1
6,414.15823160151945,18.778698762388384,5.968369640189708,757.0121642642988,128.06374670298266,2.4773731643631813,117.24361040086782,1.0793046027920965,Si,Arcilloso,V1,Ocasional,6482.994535319955,1
7,606.2938208605586,19.47189911353581,6.790544099645736,155.12368638597997,107.34424636076076,4.84474896446864,411.4063378726109,2.0013341666725504,Si,Arcilloso,V1,Ocasional,7391.179094095652,1
8,776.8813155257948,15.83876001126328,6.492898349758868,308.2222047347562,125.82881115272906,4.921950635459829,94.21321881692602,4.002168887503912,Si,Arcilloso,V2,Nunca,7394.805937187198,1
9,514.2538706484767,13.285371265308118,6.382780591197376,379.4493866049826,105.31691509722148,4.627050324905694,39.79151489870749,1.3530725156191523,Si,Arenoso,V1,Nunca,6362.697736397828,1
10,611.0858774976673,25.18100153066284,6.398534009310597,627.6888402669936,108.45047236969953,3.017094244886702,349.0380479368533,1.0673064517588782,Si,Franco,V4,Ocasional,7720.28826119281,1
11,618.7200146879367,15.627260377470108,5.87577061687251,634.8272855970852,142.54131597925362,1.5925207035021915,46.13193036601467,2.05450061477282,No,Calizo,V1,Nunca,7005.144296126422,0
12,606.6470447295512,17.976411744726878,6.80921791439682,338.70365714364,155.6789267470351,4.031018172646122,440.9197634008728,1.8230858205749203,No,Arenoso,V3,Ocasional,6845.277991335492,1
13,618.7200146879367,20.0805580019906,7.011428672432711,361.1384377297648,104.38520049884976,2.281452886776373,61.19133444598846,2.900722417670204,Si,Arenoso,V3,Nunca,7196.138973564874,0
14,417.3561864057817,9.691060681498746,6.171048305178615,400.8966143842276,103.3772829184834,4.641614543958332,55.36441925499389,2.194228558052964,No,Arenoso,V1,Ocasional,5735.15328096876,0
