,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_sqr,AcidoCitrico_exp,Azucar_sqr,CloruroSodico_sqr,Densidad_raiz4,pH_sqrt,Sulfatos_sqr,Alcohol_sqrt,CalifProductor_sqrt,PrecioBotella_sqr,aleatorio_sqr,aleatorio2_sqr,Beneficio
0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,3.5,2,1.0,M,***,Reg 1,7.142857142857142,0.9584975092890466,0.9401122986284516,8.309692455502395,5.573396220385179,13.876088664498589,2.513187499078007,1.4529331297487582,1.8198244077984855,10.495839422031727,0.9946616188708319,1.3645593560288818,1e-08,11.136689474696967,10.5146663171614,515
1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.38,M,***,Reg 3,0.0,0.933468388038327,0.16476716285140636,37.42227238131819,5.132738376365246,11.460500237838756,9.338611387374154,1.334062311994449,1.7099440636008822,9.022387198339834,2.4936426707704062,1.6712221139600012,2.613945453915255,10.562670327955997,0.3226271921072381,585
2,-1.22,0.34,1.4,0.04,1.03236,3.2,0.72,11.6,2,6.23,B,***,Reg 2,7.142857142857142,0.9703114188792403,0.5555261518478151,1.1722134088067866,21.566660754236345,8.89515670887253,9.397066990007234,1.4669761189077763,1.7444907082820547,10.635313166917717,1.8107354573870202,1.3645593560288818,12.621666713927839,11.412906340186588,3.6709204666689335,775
3,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.44,R,Desc,Reg 2,0.0,0.3755531928582456,0.9168362260642929,9.157458189220398,49.72799231354871,10.749269923956952,8.502216307917614,1.338270760639726,2.371488252414622,7.660326419746937,2.059065394147907,0.9649150833430776,0.9569795554811767,1.7097712256477253,10.000391141943576,596
4,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,4.31,R,****,Reg 2,0.0,0.4486359694519496,0.19692969134488048,5.697821499386788,22.873544668585676,8.967034055989274,4.228815023318134,1.0636626272817344,1.6968077459318867,10.84624989135051,1.8871688450684743,1.6712221139600012,5.055725657727148,2.439931618263313,0.4609739665868198,1083
5,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,4.75,R,**,Reg 1,0.0,0.09773091726846217,0.9665456282544589,8.76700635337258,25.729692801047534,10.582355777914184,6.054882238634648,1.5442672845384544,1.661269814333579,4.242492754562229,1.6979582451334554,2.1575230219663686,6.489115658005625,0.11581290885711144,11.114335849701964,596
6,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.24,B,**,Reg 1,0.0,0.7310617809589328,0.30824070598708386,9.63722869738497,4.15304938293947,9.184401508413359,21.0406092566441,1.1944532188185222,1.888215169896158,2.4532265138997764,1.0499567025921326,1.3645593560288818,0.0266099460777734,6.478679453997889,1.1298180634125703,499
7,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,4.44,MB,***,Reg 3,0.0,0.9478214178712178,0.18864642190012382,9.556416316846391,21.566660754236345,8.87723256509006,9.43613871554967,1.1237293917155065,1.6249548502581226,23.096734515404574,1.8416895063777663,1.6712221139600012,5.4606323452814305,10.889986000831582,0.4229898236487183,911
8,0.51,1.83,2.9,-0.165,0.9974,5.26,2.23,12.1,4,2.55,R,Desc,Reg 1,0.0,0.23040078023731103,0.2563458095966722,11.150034582842142,124.50584353393879,9.166188129451914,5.82218261225473,1.3431715845886592,2.4731013819139074,23.824131067093155,1.8493470667286414,1.9297524380738358,1.1087529049606288,0.6435535382416548,0.7813011643478809,773
9,0.76,0.33,-26.0,-0.195,0.9885,3.07,0.56,11.4,1,5.26,M,*,Reg 1,0.0,0.7103126645804223,0.7513822748744957,13.434039141430127,21.31438440173779,4.660046620531951,5.3704620707466635,1.3054638779196126,1.6879934075685303,9.545299740579978,1.795058279278665,0.9649150833430776,8.374099088551626,6.116147714219644,6.716337269559064,346
10,0.24,0.24,-18.2,-0.182,1.00916,3.19,-1.01,9.8,2,3.06,M,*,Reg 3,0.0,0.721690088310413,0.0854005528263414,8.922166332698326,19.172633809843806,5.727479794398411,5.563968383039684,1.388582197778361,1.7402098838797027,1.9750626644072766,1.6643331580405663,1.3645593560288818,1.9583278165780298,6.313643328112711,0.0865653087869186,364
11,0.35,0.67,4.2,0.333,0.98345,3.19,1.7,6.2,3,2.52,B,Desc,Reg 2,0.0,0.3556865380222325,0.3227364775201583,9.799874213475514,31.799232196596794,9.404372077448235,15.984991787499856,1.2825254031047282,1.7402098838797027,18.59724997415165,1.32381599536442,1.6712221139600012,1.066252784494117,1.5336698069487464,1.2386212005922415,552
12,0.17,0.34,15.6,0.044,0.99752,3.06,3.38,9.1,2,1.05,R,**,Reg 2,0.0,0.2901838828439425,0.2859134486431756,8.38506080930294,21.566660754236345,11.623922924242644,9.475291500121747,1.3436587261810873,1.6835689331491608,37.38870278449953,1.603793787786427,1.3645593560288818,0.0011603327212733436,1.0208261751307968,0.9720163931447606,776
13,-2.05,0.27,13.2,0.036,0.99408,1.95,0.02,13.0,2,2.1,B,****,Reg 2,0.0,0.3291611085422138,0.20407384145661567,1e-08,19.861503278456823,11.137125687178695,9.31916671601128,1.329478699110035,1.0856214418734778,6.30148341684941,1.9168890398404597,1.3645593560288818,0.5584579651989102,1.3134603738543824,0.49504604994095264,814
14,1.17,-0.09,1.5,0.027,0.99,3.3,0.33,12.5,3,1.56,R,**,Reg 3,0.0,0.5193148282119556,0.5538276498170488,17.640167128549358,13.003134370846709,8.913098929853687,9.145076587828871,1.312049796070907,1.7867349396540557,8.08162664502712,1.8796653730069162,1.6712221139600012,0.14477489052371956,3.269241445060538,3.648502944456207,885
15,1.65,-2.27,9.2,-0.002,0.9893,3.04,1.14,9.7,3,3.2,R,*,Reg 3,7.142857142857142,0.6318139327763617,0.1056192778425522,23.29119209763104,1.0001000050001667,10.348935773056901,8.595285389462926,1.3089887354672234,1.6746849166351776,13.776918204712503,1.6558201972549538,1.6712221139600012,2.2335329506149373,4.839043323963844,0.13247148535581457,604
